Date,Open,High,Low,Close,Volume,Adj Close
2014-06-10,1322.90,1322.90,1322.90,1322.90,000,1322.90
2014-06-09,1305.16,1305.16,1305.16,1305.16,000,1305.16
2014-06-06,1305.16,1305.16,1305.16,1305.16,000,1305.16
2014-06-05,1285.97,1285.97,1285.97,1285.97,000,1285.97
2014-06-04,1251.05,1251.05,1251.05,1251.05,000,1251.05
2014-06-03,1234.62,1234.62,1234.62,1234.62,000,1234.62
2014-06-02,1245.15,1245.15,1245.15,1245.15,000,1245.15
2014-05-30,1223.48,1223.48,1223.48,1223.48,000,1223.48
2014-05-29,1206.21,1206.21,1206.21,1206.21,000,1206.21
2014-05-28,1220.16,1220.16,1220.16,1220.16,000,1220.16
2014-05-27,1207.55,1207.55,1207.55,1207.55,000,1207.55
2014-05-26,1197.71,1197.71,1197.71,1197.71,000,1197.71
2014-05-23,1171.15,1171.15,1171.15,1171.15,000,1171.15
2014-05-22,1150.97,1150.97,1150.97,1150.97,000,1150.97
2014-05-21,1136.76,1136.76,1136.76,1136.76,000,1136.76
2014-05-20,1119.30,1119.30,1119.30,1119.30,000,1119.30
2014-05-19,1066.54,1066.54,1066.54,1066.54,000,1066.54
2014-05-16,1088.25,1088.25,1088.25,1088.25,000,1088.25
2014-05-15,1123.62,1123.62,1123.62,1123.62,000,1123.62
2014-05-14,1178.12,1178.12,1178.12,1178.12,000,1178.12
2014-05-13,1160.81,1160.81,1160.81,1160.81,000,1160.81
2014-05-12,1164.59,1164.59,1164.59,1164.59,000,1164.59
2014-05-09,1191.70,1191.70,1191.70,1191.70,000,1191.70
2014-05-08,1224.69,1224.69,1224.69,1224.69,000,1224.69
2014-05-07,1231.25,1231.25,1231.25,1231.25,000,1231.25
2014-05-06,1215.08,1215.08,1215.08,1215.08,000,1215.08
2014-05-05,1232.52,1232.52,1232.52,1232.52,000,1232.52
2014-05-02,1240.16,1240.16,1240.16,1240.16,000,1240.16
2014-05-01,1232.12,1232.12,1232.12,1232.12,000,1232.12
2014-04-30,1232.12,1232.12,1232.12,1232.12,000,1232.12
2014-04-29,1195.20,1195.20,1195.20,1195.20,000,1195.20
2014-04-28,1193.95,1193.95,1193.95,1193.95,000,1193.95
2014-04-25,1223.14,1223.14,1223.14,1223.14,000,1223.14
2014-04-24,1230.55,1230.55,1230.55,1230.55,000,1230.55
