AthensIndex,BrusselsStockExch,GermanyDAX,HangSeng,JakartaIndex,LondonFTSE,MexicoIndex,NewZealandSE,OsakaStockEx,SaoPaoloIndex,Sensex,SeoulComposite,ShanghaiComposite,SwissMarket,TaiwanWeighted,TelAvivSE,TorontoIndex,ViennaIndex
857.54,3731.379883,11504.009766,24193.039062,24193.039062,6961.100098,43517.789062,5856.77002,18751.839844,50365.0,29448.949219,1998.380005,3248.48,9034.599609,9595.089844,1356.849976,15103.099609,2506.820068
849.16,3702.159912,11390.379883,24465.380859,24465.380859,6919.200195,43296.550781,5874.080078,18703.599609,50468.0,29380.730469,1998.290039,3279.53,8992.5,9621.730469,1356.119995,15082.799805,2465.530029
861.24,3667.25,11280.360352,24702.779297,24702.779297,6889.100098,43600.371094,5893.660156,18815.160156,51304.0,29593.730469,2001.380005,3263.05,8954.700195,9605.769531,1354.040039,15133.900391,2476.320068
904.59,3713.840088,11327.19043,24902.060547,24902.060547,6949.700195,44416.488281,5861.680176,18785.789062,51761.0,28746.650391,1993.079956,3298.36,9049.5,9622.099609,1341.780029,15241.200195,2477.580078
923.03,3672.080078,11210.269531,24778.279297,24778.279297,6935.399902,43802.070312,5842.290039,18585.199219,51811.0,29007.990234,1990.469971,3228.84,8977.599609,9699.540039,1335.599976,15228.599609,2485.310059
838.61,3573.590088,10895.620117,24784.880859,24784.880859,6898.100098,43251.789062,5750.209961,18123.009766,50636.0,29135.880859,1961.449951,3246.91,8747.799805,9529.509766,1302.189941,15284.599609,2402.790039
846.48,3566.909912,10919.650391,24422.150391,24422.150391,6828.100098,43045.511719,5749.319824,17979.720703,49533.0,28805.099609,1941.630005,3173.42,8611.0,9496.30957,1284.469971,15228.5,2375.850098
793.09,3537.860107,10752.110352,24315.019531,24315.019531,6818.200195,41933.261719,5789.180176,17652.679688,48240.0,28533.970703,1945.699951,3157.7,8577.799805,9462.219727,1285.390015,15151.5,2321.23999
826.31,3543.840088,10753.830078,24528.099609,24528.099609,6829.100098,42635.191406,5784.089844,17652.679688,48510.0,28355.619141,1935.859985,3141.59,8620.400391,9393.700195,1289.780029,15112.5,2327.219971
765.22,3511.570068,10663.509766,24521.0,24521.0,6837.200195,42810.289062,5769.569824,17711.929688,49383.0,28227.390625,1947.0,3095.12,8632.099609,9421.5,1284.839966,15100.700195,2287.73999
